Region,GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit
C,316,105,3,3,3.5,8.73,0,0.72
C,311,104,2,2.5,3.5,8.48,0,0.71
E,324,110,3,3.5,4,8.87,1,0.8
B,321,111,3,3.5,4,8.83,1,0.77
D,320,104,3,3,2.5,8.57,1,0.74
E,316,99,2,2.5,3,9,0,0.7
C,318,100,2,2.5,3.5,8.54,1,0.71
D,335,115,4,4.5,4.5,9.68,1,0.93
E,321,114,4,4,5,9.12,0,0.85
D,307,110,4,4,4.5,8.37,0,0.79
C,309,99,3,4,4,8.56,0,0.76
C,324,100,3,4,5,8.64,1,0.78
D,326,102,4,5,5,8.76,1,0.77
D,331,119,4,5,4.5,9.34,1,0.9
A,327,108,5,5,3.5,9.13,1,0.87
A,312,104,3,3.5,4,8.09,0,0.71
E,308,103,2,2.5,4,8.36,1,0.7
B,324,111,3,2.5,1.5,8.79,1,0.7
B,325,110,2,3,2.5,8.76,1,0.75
B,313,102,3,2.5,2.5,8.68,0,0.71
E,312,105,2,2,2.5,8.45,0,0.72
D,314,107,3,3,3.5,8.17,1,0.73
D,327,113,4,4.5,5,9.14,0,0.83
D,308,108,4,4.5,5,8.34,0,0.77
B,306,105,2,2.5,3,8.22,1,0.72
A,299,96,2,1.5,2,7.86,0,0.54
D,294,95,1,1.5,1.5,7.64,0,0.49
C,312,99,1,1,1.5,8.01,1,0.52
E,315,100,1,2,2.5,7.95,0,0.58
B,322,110,3,3.5,3,8.96,1,0.78
B,329,113,5,5,4.5,9.45,1,0.89
A,320,101,2,2.5,3,8.62,0,0.7
C,308,103,2,3,3.5,8.49,0,0.66
B,304,102,2,3,4,8.73,0,0.67
B,311,102,3,4.5,4,8.64,1,0.68
D,317,110,3,4,4.5,9.11,1,0.8
B,312,106,3,4,3.5,8.79,1,0.81
B,321,111,3,2.5,3,8.9,1,0.8
E,340,112,4,5,4.5,9.66,1,0.94
A,331,116,5,4,4,9.26,1,0.93
A,336,118,5,4.5,4,9.19,1,0.92
E,324,114,5,5,4.5,9.08,1,0.89
B,314,104,4,5,5,9.02,0,0.82
B,313,109,3,4,3.5,9,0,0.79
A,307,105,2,2.5,3,7.65,0,0.58
B,300,102,2,1.5,2,7.87,0,0.56
D,302,99,2,1,2,7.97,0,0.56
B,312,98,1,3.5,3,8.18,1,0.64
A,316,101,2,2.5,2,8.32,1,0.61
E,317,100,2,3,2.5,8.57,0,0.68
B,310,107,3,3.5,3.5,8.67,0,0.76
E,320,120,3,4,4.5,9.11,0,0.86
E,330,114,3,4.5,4.5,9.24,1,0.9
B,305,112,3,3,3.5,8.65,0,0.71
E,309,106,2,2.5,2.5,8,0,0.62
B,319,108,2,2.5,3,8.76,0,0.66
E,322,105,2,3,3,8.45,1,0.65
E,323,107,3,3.5,3.5,8.55,1,0.73
B,313,106,2,2.5,2,8.43,0,0.62
C,321,109,3,3.5,3.5,8.8,1,0.74
D,323,110,3,4,3.5,9.1,1,0.79
D,325,112,4,4,4,9,1,0.8
C,312,108,3,3.5,3,8.53,0,0.69
D,308,110,4,3.5,3,8.6,0,0.7
A,320,104,3,3,3.5,8.74,1,0.76
C,328,108,4,4.5,4,9.18,1,0.84
C,311,107,4,4.5,4.5,9,1,0.78
B,301,100,3,3.5,3,8.04,0,0.67
D,305,105,2,3,4,8.13,0,0.66
A,308,104,2,2.5,3,8.07,0,0.65
A,298,101,2,1.5,2,7.86,0,0.54
C,300,99,1,1,2.5,8.01,0,0.58
D,324,111,3,2.5,2,8.8,1,0.79
D,327,113,4,3.5,3,8.69,1,0.8
A,317,106,3,4,3.5,8.5,1,0.75
B,323,104,3,4,4,8.44,1,0.73
D,314,107,2,2.5,4,8.27,0,0.72
A,305,102,2,2,2.5,8.18,0,0.62
C,315,104,3,3,2.5,8.33,0,0.67
C,326,116,3,3.5,4,9.14,1,0.81
A,299,100,3,2,2,8.02,0,0.63
C,295,101,2,2.5,2,7.86,0,0.69
D,324,112,4,4,3.5,8.77,1,0.8
A,297,96,2,2.5,1.5,7.89,0,0.43
C,327,113,3,3.5,3,8.66,1,0.8
B,311,105,2,3,2,8.12,1,0.73
C,308,106,3,3.5,2.5,8.21,1,0.75
A,319,108,3,3,3.5,8.54,1,0.71
B,312,107,4,4.5,4,8.65,1,0.73
A,325,111,4,4,4.5,9.11,1,0.83
E,319,110,3,3,2.5,8.79,0,0.72
E,332,118,5,5,5,9.47,1,0.94
B,323,108,5,4,4,8.74,1,0.81
E,324,107,5,3.5,4,8.66,1,0.81
E,312,107,3,3,3,8.46,1,0.75
B,326,110,3,3.5,3.5,8.76,1,0.79
C,308,106,3,3,3,8.24,0,0.58
B,305,103,2,2.5,3.5,8.13,0,0.59
C,295,96,2,1.5,2,7.34,0,0.47
B,316,98,1,1.5,2,7.43,0,0.49
A,304,97,2,1.5,2,7.64,0,0.47
D,299,94,1,1,1,7.34,0,0.42
C,302,99,1,2,2,7.25,0,0.57
D,313,101,3,2.5,3,8.04,0,0.62
A,318,107,3,3,3.5,8.27,1,0.74
C,325,110,4,3.5,4,8.67,1,0.73
A,303,100,2,3,3.5,8.06,1,0.64
A,300,102,3,3.5,2.5,8.17,0,0.63
C,297,98,2,2.5,3,7.67,0,0.59
D,317,106,2,2,3.5,8.12,0,0.73
A,327,109,3,3.5,4,8.77,1,0.79
C,301,104,2,3.5,3.5,7.89,1,0.68
D,314,105,2,2.5,2,7.64,0,0.7
A,321,107,2,2,1.5,8.44,0,0.81
B,322,110,3,4,5,8.64,1,0.85
C,334,116,4,4,3.5,9.54,1,0.93
B,338,115,5,4.5,5,9.23,1,0.91
D,306,103,2,2.5,3,8.36,0,0.69
B,313,102,3,3.5,4,8.9,1,0.77
B,330,114,4,4.5,3,9.17,1,0.86
D,320,104,3,3.5,4.5,8.34,1,0.74
C,311,98,1,1,2.5,7.46,0,0.57
D,298,92,1,2,2,7.88,0,0.51
D,301,98,1,2,3,8.03,1,0.67
B,310,103,2,2.5,2.5,8.24,0,0.72
E,324,110,3,3.5,3,9.22,1,0.89
D,336,119,4,4.5,4,9.62,1,0.95
A,321,109,3,3,3,8.54,1,0.79
C,315,105,2,2,2.5,7.65,0,0.39
C,304,101,2,2,2.5,7.66,0,0.38
C,297,96,2,2.5,2,7.43,0,0.34
D,290,100,1,1.5,2,7.56,0,0.47
C,303,98,1,2,2.5,7.65,0,0.56
A,311,99,1,2.5,3,8.43,1,0.71
A,322,104,3,3.5,4,8.84,1,0.78
C,319,105,3,3,3.5,8.67,1,0.73
A,324,110,4,4.5,4,9.15,1,0.82
A,300,100,3,3,3.5,8.26,0,0.62
A,340,113,4,5,5,9.74,1,0.96
D,335,117,5,5,5,9.82,1,0.96
D,302,101,2,2.5,3.5,7.96,0,0.46
C,307,105,2,2,3.5,8.1,0,0.53
D,296,97,2,1.5,2,7.8,0,0.49
E,320,108,3,3.5,4,8.44,1,0.76
D,314,102,2,2,2.5,8.24,0,0.64
D,318,106,3,2,3,8.65,0,0.71
A,326,112,4,4,3.5,9.12,1,0.84
D,317,104,2,3,3,8.76,0,0.77
A,329,111,4,4.5,4,9.23,1,0.89
C,324,110,3,3.5,3.5,9.04,1,0.82
E,325,107,3,3,3.5,9.11,1,0.84
A,330,116,4,5,4.5,9.45,1,0.91
B,312,103,3,3.5,4,8.78,0,0.67
A,333,117,4,5,4,9.66,1,0.95
